date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:03:22	1980/1980	---M--	200	added ('OK')	application/x-javascript	etag:%2257645db9-7bc%22	http://placement.iiitb.ac.in/assets/js/main.js	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/js/main.js	(from http://placement.iiitb.ac.in/)
19:03:22	177/177	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Apr%202017%2013:32:39%20GMT	http://placement.iiitb.ac.in/assets/css/img/a17.png	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/css/img/a17.png	(from http://placement.iiitb.ac.in/assets/css/slider1.css)
19:03:22	26711/26711	---M--	200	added ('OK')	text/css	etag:%2257645dba-6857%22	http://placement.iiitb.ac.in/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/css/font-awesome.min.css	(from http://placement.iiitb.ac.in/assets/css/main.css)
19:03:23	2304/2304	---M--	200	added ('OK')	image/jpeg	etag:%2257645db6-900%22	http://placement.iiitb.ac.in/images/logo.jpg	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/logo.jpg	(from http://placement.iiitb.ac.in/assets/css/main.css)
19:03:24	3535/3535	---M--	200	added ('OK')	image/png	etag:%2257645db9-dcf%22	http://placement.iiitb.ac.in/assets/css/images/bg02.png	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/css/images/bg02.png	(from http://placement.iiitb.ac.in/assets/css/main.css)
19:03:24	6310/6310	---M--	200	added ('OK')	image/png	etag:%2257645dba-18a6%22	http://placement.iiitb.ac.in/assets/css/images/bg01.png	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/css/images/bg01.png	(from http://placement.iiitb.ac.in/assets/css/main.css)
19:03:24	177/177	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Apr%202017%2013:32:41%20GMT	http://placement.iiitb.ac.in/assets/css/images/absurdity.png	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/css/images/absurdity.png	(from http://placement.iiitb.ac.in/assets/css/main.css)
19:03:25	3693/3693	---M--	200	added ('OK')	image/png	etag:%2257645dba-e6d%22	http://placement.iiitb.ac.in/assets/css/images/bg03.png	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/css/images/bg03.png	(from http://placement.iiitb.ac.in/assets/css/main.css)
19:03:26	3869/3869	---M--	200	added ('OK')	image/png	etag:%2257645db9-f1d%22	http://placement.iiitb.ac.in/assets/css/images/bg04.png	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/css/images/bg04.png	(from http://placement.iiitb.ac.in/assets/css/main.css)
19:03:46	97244/97244	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.2/jquery.min.js	C:/My%20Web%20Sites/placement/ajax.googleapis.com/ajax/libs/jquery/1.12.2/jquery.min.js	(from http://placement.iiitb.ac.in/mtechIT.html)
19:03:46	1599/1599	---M--	200	added ('OK')	text/css	etag:%2257645dba-63f%22	http://placement.iiitb.ac.in/assets/css/tabs.css	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/css/tabs.css	(from http://placement.iiitb.ac.in/mtechIT.html)
19:03:46	5643/5643	---M--	200	added ('OK')	text/css	etag:%2257645db9-160b%22	http://placement.iiitb.ac.in/assets/css/popupm.css	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/css/popupm.css	(from http://placement.iiitb.ac.in/mtechIT.html)
19:04:05	116121/116121	---M--	200	added ('OK')	image/png	etag:%2257645da3-1c599%22	http://placement.iiitb.ac.in/images/webScience.png	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/webScience.png	(from http://placement.iiitb.ac.in/mtechIT.html)
19:04:25	120518/120518	---M--	200	added ('OK')	image/jpeg	etag:%2257645db4-1d6c6%22	http://placement.iiitb.ac.in/images/csl.jpg	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/csl.jpg	(from http://placement.iiitb.ac.in/mtechIT.html)
19:04:44	507152/507152	---M--	200	added ('OK')	image/jpeg	etag:%2257645db4-7bd10%22	http://placement.iiitb.ac.in/images/1.jpg	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/1.jpg	(from http://placement.iiitb.ac.in/assets/css/main.css)
19:05:50	107864/107864	---M--	200	added ('OK')	image/jpeg	etag:%2257645da3-1a558%22	http://placement.iiitb.ac.in/images/networkLab.JPG	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/networkLab.jpg	(from http://placement.iiitb.ac.in/mtechIT.html)
19:06:27	226542/226542	---M--	200	added ('OK')	image/jpeg	etag:%2257645da4-374ee%22	http://placement.iiitb.ac.in/images/Hackathons.jpg	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/Hackathons.jpg	(from http://placement.iiitb.ac.in/imtech.html)
19:06:37	57051/57051	---M--	200	added ('OK')	image/jpeg	etag:%2257645da4-dedb%22	http://placement.iiitb.ac.in/images/research.jpg	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/research.jpg	(from http://placement.iiitb.ac.in/imtech.html)
19:07:10	205428/205428	---M--	200	added ('OK')	image/jpeg	etag:%2257645da7-32274%22	http://placement.iiitb.ac.in/images/girlTeam.jpg	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/girlTeam.jpg	(from http://placement.iiitb.ac.in/imtech.html)
19:07:10	389/389	---M--	200	added ('OK')	text/css	etag:%2257645da0-185%22	http://placement.iiitb.ac.in/digisoc_files/css.css	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/digisoc_files/css.css	(from http://placement.iiitb.ac.in/digisoc.html)
19:07:10	2258/2258	---M--	200	added ('OK')	text/css	etag:%2257645da0-8d2%22	http://placement.iiitb.ac.in/digisoc_files/css_002.css	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/digisoc_files/css_002.css	(from http://placement.iiitb.ac.in/digisoc.html)
19:07:11	95957/95957	---M--	200	added ('OK')	application/x-javascript	etag:%2257645da0-176d5%22	http://placement.iiitb.ac.in/digisoc_files/jquery.js	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/digisoc_files/jquery.js	(from http://placement.iiitb.ac.in/digisoc.html)
19:07:13	4330/4330	---M--	200	added ('OK')	application/x-javascript	etag:%2257645da0-10ea%22	http://placement.iiitb.ac.in/digisoc_files/jquery_002.js	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/digisoc_files/jquery_002.js	(from http://placement.iiitb.ac.in/digisoc.html)
19:07:13	9091/9091	---M--	200	added ('OK')	application/x-javascript	etag:%2257645da0-2383%22	http://placement.iiitb.ac.in/digisoc_files/skel.js	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/digisoc_files/skel.js	(from http://placement.iiitb.ac.in/digisoc.html)
19:07:13	1183/1183	---M--	200	added ('OK')	application/x-javascript	etag:%2257645da0-49f%22	http://placement.iiitb.ac.in/digisoc_files/skel-viewport.js	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/digisoc_files/skel-viewport.js	(from http://placement.iiitb.ac.in/digisoc.html)
19:07:13	12433/12433	---M--	200	added ('OK')	application/x-javascript	etag:%2257645da0-3091%22	http://placement.iiitb.ac.in/digisoc_files/util.js	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/digisoc_files/util.js	(from http://placement.iiitb.ac.in/digisoc.html)
19:07:15	1980/1980	---M--	200	added ('OK')	application/x-javascript	etag:%2257645da0-7bc%22	http://placement.iiitb.ac.in/digisoc_files/main.js	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/digisoc_files/main.js	(from http://placement.iiitb.ac.in/digisoc.html)
19:07:15	14835/14835	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202016%2020:29:42%20GMT	http://placement.iiitb.ac.in/comp_sci.html	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/comp_sci.html	(from http://placement.iiitb.ac.in/digisoc.html)
